Connecting to host 10.0.0.4, port 5201
[ 24] local 10.0.0.1 port 39829 connected to 10.0.0.4 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 24]   0.00-1.00   sec  1.97 MBytes  16.5 Mbits/sec  208    294 KBytes       
[ 24]   1.00-2.00   sec  1.12 MBytes  9.38 Mbits/sec    2    148 KBytes       
[ 24]   2.00-3.00   sec  1.08 MBytes  9.09 Mbits/sec    0    154 KBytes       
[ 24]   3.00-4.00   sec  1.09 MBytes  9.10 Mbits/sec    0    160 KBytes       
[ 24]   4.00-5.00   sec  1.45 MBytes  12.1 Mbits/sec    0    164 KBytes       
[ 24]   5.00-6.00   sec  1.08 MBytes  9.09 Mbits/sec    0    170 KBytes       
[ 24]   6.00-7.00   sec  1.09 MBytes  9.10 Mbits/sec    0    174 KBytes       
[ 24]   7.00-8.00   sec  1.09 MBytes  9.10 Mbits/sec    0    180 KBytes       
[ 24]   8.00-9.00   sec  1.09 MBytes  9.10 Mbits/sec    0    184 KBytes       
[ 24]   9.00-10.00  sec  1.09 MBytes  9.10 Mbits/sec    0    188 KBytes       
[ 24]  10.00-11.00  sec  1.45 MBytes  12.1 Mbits/sec    0    192 KBytes       
[ 24]  11.00-12.00  sec  1.09 MBytes  9.10 Mbits/sec    0    197 KBytes       
[ 24]  12.00-13.00  sec  1.09 MBytes  9.10 Mbits/sec    0    201 KBytes       
[ 24]  13.00-14.00  sec  1.09 MBytes  9.10 Mbits/sec    0    205 KBytes       
[ 24]  14.00-15.00  sec  1.09 MBytes  9.11 Mbits/sec    0    208 KBytes       
[ 24]  15.00-16.00  sec  1.09 MBytes  9.10 Mbits/sec    0    212 KBytes       
[ 24]  16.00-17.00  sec  1.09 MBytes  9.11 Mbits/sec    0    216 KBytes       
[ 24]  17.00-18.00  sec  1.45 MBytes  12.1 Mbits/sec    0    221 KBytes       
[ 24]  18.00-19.00  sec  1.09 MBytes  9.10 Mbits/sec    0    223 KBytes       
[ 24]  19.00-20.00  sec  1.09 MBytes  9.10 Mbits/sec    0    228 KBytes       
[ 24]  20.00-21.00  sec  1.08 MBytes  9.10 Mbits/sec    0    230 KBytes       
[ 24]  21.00-22.00  sec  1.09 MBytes  9.10 Mbits/sec    0    235 KBytes       
[ 24]  22.00-23.00  sec  1.09 MBytes  9.10 Mbits/sec    0    238 KBytes       
[ 24]  23.00-24.00  sec  1.45 MBytes  12.1 Mbits/sec    0    242 KBytes       
[ 24]  24.00-25.00  sec  1.09 MBytes  9.11 Mbits/sec    0    245 KBytes       
[ 24]  25.00-26.00  sec  1.08 MBytes  9.09 Mbits/sec    0    247 KBytes       
[ 24]  26.00-27.00  sec  1.09 MBytes  9.11 Mbits/sec    0    252 KBytes       
[ 24]  27.00-28.00  sec  1.08 MBytes  9.09 Mbits/sec    0    255 KBytes       
[ 24]  28.00-29.00  sec  1.09 MBytes  9.11 Mbits/sec    0    257 KBytes       
[ 24]  29.00-30.00  sec  1.09 MBytes  9.10 Mbits/sec    0    262 KBytes       
[ 24]  30.00-31.00  sec  1.45 MBytes  12.1 Mbits/sec    0    264 KBytes       
[ 24]  31.00-32.00  sec  1.09 MBytes  9.10 Mbits/sec    0    267 KBytes       
[ 24]  32.00-33.00  sec  1.09 MBytes  9.11 Mbits/sec    0    270 KBytes       
[ 24]  33.00-34.00  sec  1.09 MBytes  9.10 Mbits/sec    0    273 KBytes       
[ 24]  34.00-35.00  sec  1.09 MBytes  9.11 Mbits/sec    0    276 KBytes       
[ 24]  35.00-36.00  sec  1.09 MBytes  9.10 Mbits/sec    0    279 KBytes       
[ 24]  36.00-37.00  sec  1.09 MBytes  9.10 Mbits/sec    0    283 KBytes       
[ 24]  37.00-38.00  sec  1.45 MBytes  12.1 Mbits/sec    0    286 KBytes       
[ 24]  38.00-39.00  sec  1.09 MBytes  9.11 Mbits/sec    0    288 KBytes       
[ 24]  39.00-40.00  sec  1.09 MBytes  9.10 Mbits/sec    0    291 KBytes       
[ 24]  40.00-41.00  sec  1.09 MBytes  9.10 Mbits/sec    0    294 KBytes       
[ 24]  41.00-42.00  sec  1.32 MBytes  11.1 Mbits/sec    1    148 KBytes       
[ 24]  42.00-43.00  sec  1.09 MBytes  9.10 Mbits/sec    0    154 KBytes       
[ 24]  43.00-44.00  sec  1.09 MBytes  9.10 Mbits/sec    0    158 KBytes       
[ 24]  44.00-45.00  sec  1.09 MBytes  9.10 Mbits/sec    0    164 KBytes       
[ 24]  45.00-46.00  sec  1.09 MBytes  9.10 Mbits/sec    0    168 KBytes       
[ 24]  46.00-47.00  sec  1.08 MBytes  9.09 Mbits/sec    0    174 KBytes       
[ 24]  47.00-48.00  sec  1.45 MBytes  12.1 Mbits/sec    0    178 KBytes       
[ 24]  48.00-49.00  sec  1.08 MBytes  9.09 Mbits/sec    0    182 KBytes       
[ 24]  49.00-50.00  sec  1.09 MBytes  9.10 Mbits/sec    0    187 KBytes       
[ 24]  50.00-51.00  sec  1.09 MBytes  9.10 Mbits/sec    0    191 KBytes       
[ 24]  51.00-52.00  sec  1.09 MBytes  9.10 Mbits/sec    0    195 KBytes       
[ 24]  52.00-53.00  sec  1.09 MBytes  9.10 Mbits/sec    0    199 KBytes       
[ 24]  53.00-54.00  sec  1.08 MBytes  9.09 Mbits/sec    0    204 KBytes       
[ 24]  54.00-55.00  sec  1.45 MBytes  12.1 Mbits/sec    0    208 KBytes       
[ 24]  55.00-56.00  sec  1.09 MBytes  9.10 Mbits/sec    0    212 KBytes       
[ 24]  56.00-57.00  sec  1.09 MBytes  9.10 Mbits/sec    0    215 KBytes       
[ 24]  57.00-58.00  sec  1.09 MBytes  9.10 Mbits/sec    0    219 KBytes       
[ 24]  58.00-59.00  sec  1.09 MBytes  9.11 Mbits/sec    0    223 KBytes       
[ 24]  59.00-60.00  sec  1.09 MBytes  9.10 Mbits/sec    0    226 KBytes       
[ 24]  60.00-61.00  sec  1.09 MBytes  9.10 Mbits/sec    0    230 KBytes       
[ 24]  61.00-62.00  sec  1.45 MBytes  12.1 Mbits/sec    0    233 KBytes       
[ 24]  62.00-63.00  sec  1.09 MBytes  9.10 Mbits/sec    0    238 KBytes       
[ 24]  63.00-64.00  sec  1.09 MBytes  9.11 Mbits/sec    0    240 KBytes       
[ 24]  64.00-65.00  sec  1.09 MBytes  9.10 Mbits/sec    0    245 KBytes       
[ 24]  65.00-66.00  sec  1.09 MBytes  9.10 Mbits/sec    0    247 KBytes       
[ 24]  66.00-67.00  sec  1.09 MBytes  9.10 Mbits/sec    0    250 KBytes       
[ 24]  67.00-68.00  sec  1.45 MBytes  12.1 Mbits/sec    0    255 KBytes       
[ 24]  68.00-69.00  sec  1.09 MBytes  9.10 Mbits/sec    0    257 KBytes       
[ 24]  69.00-70.00  sec  1.09 MBytes  9.11 Mbits/sec    0    260 KBytes       
[ 24]  70.00-71.00  sec  1.09 MBytes  9.14 Mbits/sec    0    263 KBytes       
[ 24]  71.00-72.00  sec  1.09 MBytes  9.10 Mbits/sec    0    267 KBytes       
[ 24]  72.00-73.00  sec  1.09 MBytes  9.11 Mbits/sec    0    270 KBytes       
[ 24]  73.00-74.00  sec  1.09 MBytes  9.10 Mbits/sec    0    273 KBytes       
[ 24]  74.00-75.00  sec  1.45 MBytes  12.1 Mbits/sec    0    276 KBytes       
[ 24]  75.00-76.00  sec  1.09 MBytes  9.10 Mbits/sec    0    279 KBytes       
[ 24]  76.00-77.00  sec  1.09 MBytes  9.10 Mbits/sec    0    281 KBytes       
[ 24]  77.00-78.00  sec  1.09 MBytes  9.11 Mbits/sec    0    284 KBytes       
[ 24]  78.00-79.00  sec  1.09 MBytes  9.10 Mbits/sec    0    287 KBytes       
[ 24]  79.00-80.00  sec  1.08 MBytes  9.09 Mbits/sec    0    290 KBytes       
[ 24]  80.00-81.00  sec  1.45 MBytes  12.1 Mbits/sec    0    293 KBytes       
[ 24]  81.00-82.00  sec   741 KBytes  6.07 Mbits/sec    1    240 KBytes       
[ 24]  82.00-83.00  sec  1.33 MBytes  11.1 Mbits/sec    0    153 KBytes       
[ 24]  83.00-84.00  sec  1.09 MBytes  9.11 Mbits/sec    0    158 KBytes       
[ 24]  84.00-85.00  sec  1.09 MBytes  9.10 Mbits/sec    0    163 KBytes       
[ 24]  85.00-86.00  sec  1.45 MBytes  12.1 Mbits/sec    0    168 KBytes       
[ 24]  86.00-87.00  sec  1.09 MBytes  9.10 Mbits/sec    0    173 KBytes       
[ 24]  87.00-88.00  sec  1.09 MBytes  9.10 Mbits/sec    0    177 KBytes       
[ 24]  88.00-89.00  sec  1.09 MBytes  9.11 Mbits/sec    0    182 KBytes       
[ 24]  89.00-90.00  sec  1.09 MBytes  9.10 Mbits/sec    0    187 KBytes       
[ 24]  90.00-91.00  sec  1.09 MBytes  9.10 Mbits/sec    0    191 KBytes       
[ 24]  91.00-92.00  sec  1.45 MBytes  12.1 Mbits/sec    0    195 KBytes       
[ 24]  92.00-93.00  sec  1.09 MBytes  9.10 Mbits/sec    0    199 KBytes       
[ 24]  93.00-94.00  sec  1.08 MBytes  9.09 Mbits/sec    0    204 KBytes       
[ 24]  94.00-95.00  sec  1.09 MBytes  9.10 Mbits/sec    0    206 KBytes       
[ 24]  95.00-96.00  sec  1.09 MBytes  9.10 Mbits/sec    0    211 KBytes       
[ 24]  96.00-97.00  sec  1.08 MBytes  9.08 Mbits/sec    0    215 KBytes       
[ 24]  97.00-98.00  sec  1.09 MBytes  9.10 Mbits/sec    0    219 KBytes       
[ 24]  98.00-99.00  sec  1.45 MBytes  12.1 Mbits/sec    0    222 KBytes       
[ 24]  99.00-100.00 sec  1.09 MBytes  9.10 Mbits/sec    0    226 KBytes       
[ 24] 100.00-101.00 sec  1.09 MBytes  9.11 Mbits/sec    0    229 KBytes       
[ 24] 101.00-102.00 sec  1.09 MBytes  9.10 Mbits/sec    0    233 KBytes       
[ 24] 102.00-103.00 sec  1.09 MBytes  9.11 Mbits/sec    0    236 KBytes       
[ 24] 103.00-104.00 sec  1.09 MBytes  9.10 Mbits/sec    0    240 KBytes       
[ 24] 104.00-105.00 sec  1.09 MBytes  9.10 Mbits/sec    0    243 KBytes       
[ 24] 105.00-106.00 sec  1.45 MBytes  12.1 Mbits/sec    0    247 KBytes       
[ 24] 106.00-107.00 sec  1.09 MBytes  9.11 Mbits/sec    0    250 KBytes       
[ 24] 107.00-108.00 sec  1.09 MBytes  9.10 Mbits/sec    0    253 KBytes       
[ 24] 108.00-109.00 sec  1.09 MBytes  9.11 Mbits/sec    0    256 KBytes       
[ 24] 109.00-110.00 sec  1.09 MBytes  9.10 Mbits/sec    0    260 KBytes       
[ 24] 110.00-111.00 sec  1.09 MBytes  9.10 Mbits/sec    0    263 KBytes       
[ 24] 111.00-112.00 sec  1.45 MBytes  12.1 Mbits/sec    0    266 KBytes       
[ 24] 112.00-113.00 sec  1.09 MBytes  9.10 Mbits/sec    0    269 KBytes       
[ 24] 113.00-114.00 sec  1.09 MBytes  9.10 Mbits/sec    0    272 KBytes       
[ 24] 114.00-115.00 sec  1.09 MBytes  9.10 Mbits/sec    0    276 KBytes       
[ 24] 115.00-116.00 sec  1.09 MBytes  9.10 Mbits/sec    0    279 KBytes       
[ 24] 116.00-117.00 sec  1.09 MBytes  9.11 Mbits/sec    0    281 KBytes       
[ 24] 117.00-118.00 sec  1.09 MBytes  9.10 Mbits/sec    0    284 KBytes       
[ 24] 118.00-119.00 sec  1.45 MBytes  12.1 Mbits/sec    0    287 KBytes       
[ 24] 119.00-120.00 sec  1.09 MBytes  9.10 Mbits/sec    0    290 KBytes       
[ 24] 120.00-121.00 sec  1.09 MBytes  9.10 Mbits/sec    0    293 KBytes       
[ 24] 121.00-122.00 sec  1.09 MBytes  9.11 Mbits/sec    0    296 KBytes       
[ 24] 122.00-123.00 sec  1.32 MBytes  11.1 Mbits/sec    1    151 KBytes       
[ 24] 123.00-124.00 sec  1.09 MBytes  9.11 Mbits/sec    0    157 KBytes       
[ 24] 124.00-125.00 sec  1.09 MBytes  9.10 Mbits/sec    0    161 KBytes       
[ 24] 125.00-126.00 sec  1.09 MBytes  9.10 Mbits/sec    0    167 KBytes       
[ 24] 126.00-127.00 sec  1.09 MBytes  9.11 Mbits/sec    0    171 KBytes       
[ 24] 127.00-128.00 sec  1.08 MBytes  9.09 Mbits/sec    0    177 KBytes       
[ 24] 128.00-129.00 sec  1.09 MBytes  9.10 Mbits/sec    0    181 KBytes       
[ 24] 129.00-130.00 sec  1.45 MBytes  12.1 Mbits/sec    0    185 KBytes       
[ 24] 130.00-131.00 sec  1.09 MBytes  9.10 Mbits/sec    0    189 KBytes       
[ 24] 131.00-132.00 sec  1.09 MBytes  9.11 Mbits/sec    0    194 KBytes       
[ 24] 132.00-133.00 sec  1.09 MBytes  9.10 Mbits/sec    0    198 KBytes       
[ 24] 133.00-134.00 sec  1.09 MBytes  9.10 Mbits/sec    0    202 KBytes       
[ 24] 134.00-135.00 sec  1.08 MBytes  9.09 Mbits/sec    0    206 KBytes       
[ 24] 135.00-136.00 sec  1.09 MBytes  9.10 Mbits/sec    0    211 KBytes       
[ 24] 136.00-137.00 sec  1.45 MBytes  12.1 Mbits/sec    0    214 KBytes       
[ 24] 137.00-138.00 sec  1.09 MBytes  9.10 Mbits/sec    0    218 KBytes       
[ 24] 138.00-139.00 sec  1.09 MBytes  9.09 Mbits/sec    0    222 KBytes       
[ 24] 139.00-140.00 sec  1.09 MBytes  9.12 Mbits/sec    0    225 KBytes       
[ 24] 140.00-141.00 sec  1.08 MBytes  9.09 Mbits/sec    0    229 KBytes       
[ 24] 141.00-142.00 sec  1.09 MBytes  9.10 Mbits/sec    0    232 KBytes       
[ 24] 142.00-143.00 sec  1.45 MBytes  12.1 Mbits/sec    0    236 KBytes       
[ 24] 143.00-144.00 sec  1.09 MBytes  9.10 Mbits/sec    0    239 KBytes       
[ 24] 144.00-145.00 sec  1.09 MBytes  9.10 Mbits/sec    0    243 KBytes       
[ 24] 145.00-146.00 sec  1.09 MBytes  9.10 Mbits/sec    0    246 KBytes       
[ 24] 146.00-147.00 sec  1.09 MBytes  9.10 Mbits/sec    0    249 KBytes       
[ 24] 147.00-148.00 sec  1.09 MBytes  9.10 Mbits/sec    0    253 KBytes       
[ 24] 148.00-149.00 sec  1.09 MBytes  9.10 Mbits/sec    0    256 KBytes       
[ 24] 149.00-150.00 sec  1.45 MBytes  12.1 Mbits/sec    0    259 KBytes       
[ 24] 150.00-151.00 sec  1.08 MBytes  9.09 Mbits/sec    0    262 KBytes       
[ 24] 151.00-152.00 sec  1.09 MBytes  9.11 Mbits/sec    0    266 KBytes       
[ 24] 152.00-153.00 sec  1.09 MBytes  9.11 Mbits/sec    0    269 KBytes       
[ 24] 153.00-154.00 sec  1.09 MBy
