@relation all-combined-weka.filters.unsupervised.instance.Randomize-S2225

@attribute avgw3delay_div_avgw1delay numeric
@attribute avgw3delay_div_minw1delay numeric
@attribute avgw3delay_div_maxw1delay numeric
@attribute avgw3delay_div_avgw2delay numeric
@attribute avgw3delay_div_minw2delay numeric
@attribute avgw3delay_div_maxw2delay numeric
@attribute minw3delay_div_avgw1delay numeric
@attribute minw3delay_div_minw1delay numeric
@attribute minw3delay_div_maxw1delay numeric
@attribute minw3delay_div_avgw2delay numeric
@attribute minw3delay_div_minw2delay numeric
@attribute minw3delay_div_maxw2delay numeric
@attribute maxw3delay_div_avgw1delay numeric
@attribute maxw3delay_div_minw1delay numeric
@attribute maxw3delay_div_maxw1delay numeric
@attribute maxw3delay_div_avgw2delay numeric
@attribute maxw3delay_div_minw2delay numeric
@attribute maxw3delay_div_maxw2delay numeric
@attribute minw3delay_div_maxw3delay numeric
@attribute stdw3delay_div_stdw1delay numeric
@attribute stdw3delay_div_stdw2delay numeric
@attribute stdw1delay_div_stdw2delay numeric
@attribute avgw1delay_div_avgw2delay numeric
@attribute avgw1delay_div_minw2delay numeric
@attribute avgw1delay_div_maxw2delay numeric
@attribute minw1delay_div_avgw2delay numeric
@attribute minw1delay_div_minw2delay numeric
@attribute minw1delay_div_maxw2delay numeric
@attribute maxw1delay_div_avgw2delay numeric
@attribute maxw1delay_div_minw2delay numeric
@attribute maxw1delay_div_maxw2delay numeric
@attribute avgw3iat_div_avgw1iat numeric
@attribute avgw3iat_div_minw1iat numeric
@attribute avgw3iat_div_maxw1iat numeric
@attribute avgw3iat_div_avgw2iat numeric
@attribute avgw3iat_div_minw2iat numeric
@attribute avgw3iat_div_maxw2iat numeric
@attribute minw3iat_div_avgw1iat numeric
@attribute minw3iat_div_minw1iat numeric
@attribute minw3iat_div_maxw1iat numeric
@attribute minw3iat_div_avgw2iat numeric
@attribute minw3iat_div_minw2iat numeric
@attribute minw3iat_div_maxw2iat numeric
@attribute maxw3iat_div_avgw1iat numeric
@attribute maxw3iat_div_minw1iat numeric
@attribute maxw3iat_div_maxw1iat numeric
@attribute maxw3iat_div_avgw2iat numeric
@attribute maxw3iat_div_minw2iat numeric
@attribute maxw3iat_div_maxw2iat numeric
@attribute minw3iat_div_maxw3iat numeric
@attribute stdw3iat_div_stdw1iat numeric
@attribute stdw3iat_div_stdw2iat numeric
@attribute stdw1iat_div_stdw2iat numeric
@attribute avgw1iat_div_avgw2iat numeric
@attribute avgw1iat_div_minw2iat numeric
@attribute avgw1iat_div_maxw2iat numeric
@attribute minw1iat_div_avgw2iat numeric
@attribute minw1iat_div_minw2iat numeric
@attribute minw1iat_div_maxw2iat numeric
@attribute maxw1iat_div_avgw2iat numeric
@attribute maxw1iat_div_minw2iat numeric
@attribute maxw1iat_div_maxw2iat numeric
@attribute class {c,n}

@data
0.560142,0.606186,0.534545,0.447733,0.484536,0.427273,1.105043,1.195876,1.054545,0.523411,0.549533,0.474194,0.418373,0.439252,0.379032,1.03258,1.084112,0.935484,0.405172,7.009221,5.727103,0.817081,0.934425,0.981059,0.846559,0.86345,0.906542,0.782258,0.97917,1.028037,0.887097,0.851436,0,0.174872,0,0,0,6.554307,0,1.346154,0.897368,0,0.245766,0,0,0,6.907895,0,1.891892,0,0.957179,1.108032,1.157601,1.053947,0,0.288649,0,0,0,5.131579,0,1.405405,c
0.881762,1.149697,0.82929,0.819244,1.068182,0.770492,0.967405,1.261364,0.909836,0.866161,0.963556,0.82929,0.804749,0.895238,0.770492,0.950288,1.057143,0.909836,0.846847,1.079749,1.105237,1.023605,0.982307,1.092762,0.940492,0.753382,0.838095,0.721311,1.044461,1.161905,1,0.837772,0,0.037814,0,0,0,11.25908,0,0.508197,0.804651,0,0.040468,0,0,0,10.813953,0,0.54386,0,0.518237,0.494362,0.953931,0.960465,0,0.048304,0,0,0,21.27907,0,1.070175,c
1.164943,1.225029,1.10836,1.101101,1.157895,1.047619,1.251251,1.315789,1.190476,1.084827,1.144699,1.042189,1.025375,1.081967,0.985075,1.165199,1.229508,1.119403,0.88,1.106028,1.169279,1.057187,0.931227,0.982623,0.894627,0.885552,0.934426,0.850746,0.978767,1.032787,0.940299,1.264438,0,0.145965,0,0,0,8.662614,0,1,1.223529,0,0.154074,0,0,0,8.382353,0,1.055556,0,1.397142,1.588027,1.136625,0.967647,0,0.121852,0,0,0,8.382353,0,1.055556,n
1.121045,1.365995,0.973554,0.776147,0.945736,0.674033,1.157859,1.410853,1.005525,1.001933,1.042682,0.968205,0.693681,0.721893,0.67033,1.034836,1.076923,1,0.67033,0.628771,2.06494,3.284091,0.893749,0.930099,0.863663,0.733482,0.763314,0.708791,1.02915,1.071006,0.994505,1.075071,0,0.144571,0,0,0,8.073654,0,1.085714,1.03125,0,0.144571,0,0,0,7.744565,0,1.085714,0,1.276358,1.2524,0.981229,0.959239,0,0.134476,0,0,0,7.133152,0,1,c
1.129806,1.246667,1.054872,1.071036,1.181818,1,1.208349,1.333333,1.128205,1.058854,1.111892,0.979524,1.003775,1.054054,0.928571,1.132464,1.189189,1.047619,0.886364,0.786279,0.825682,1.050114,0.9372,0.984144,0.866984,0.849348,0.891892,0.785714,1.003775,1.054054,0.928571,0.977778,0,0.228148,0,0,0,3.809524,0,0.888889,0.968553,0,0.342222,0,0,0,3.773585,0,1.333333,0,0.91118,1.047,1.149059,0.990566,0,0.35,0,0,0,4.245283,0,1.5,n
1.173558,1.228545,1.038413,1.130146,1.183099,1,1.224325,1.28169,1.083333,1.080876,1.282745,1.026196,1.040892,1.235294,0.988235,1.127633,1.338235,1.070588,0.923077,0.906861,0.781493,0.861756,0.921024,1.093039,0.874431,0.879802,1.044118,0.835294,1.040892,1.235294,0.988235,0.942369,0,0.309825,0,0,0,3.041622,0,1,0.978936,0,0.309825,0,0,0,3.159645,0,1,0,0.973521,0.95249,0.978397,1.038803,0,0.328772,0,0,0,3.159645,0,1,n
1.088588,1.547407,0.773704,0.781657,1.111111,0.555556,1.875977,2.666667,1.333333,0.698429,0.870417,0.580278,0.501505,0.625,0.416667,1.203611,1.5,1,0.416667,2.272182,2.473226,1.088481,0.641591,0.799583,0.533056,0.451354,0.5625,0.375,0.902708,1.125,0.75,1.043597,0,0.319167,0,0,0,4.495913,0,1.375,1.02957,0,0.283704,0,0,0,4.435484,0,1.222222,0,1.10984,1.107393,0.997796,0.986559,0,0.271852,0,0,0,3.225806,0,0.888889,n
1.054591,1.082857,1.020385,0.993772,1.020408,0.961538,1.073274,1.102041,1.038462,1.049308,1.0612,0.982593,0.988794,1,0.925926,1.067897,1.08,1,0.925926,1.312222,0.926053,0.705714,0.99499,1.006267,0.931728,0.969018,0.98,0.907407,1.028345,1.04,0.962963,0.983193,0,0.39,0,0,0,2.521008,0,1,0.89313,0,0.13,0,0,0,2.290076,0,0.333333,0,1.007458,0.733243,0.727816,0.908397,0,0.132222,0,0,0,2.290076,0,0.333333,n
1.170274,1.261458,1.090991,1.101662,1.1875,1.027027,1.478547,1.59375,1.378378,1.071492,1.153333,0.761635,1.008671,1.085714,0.716981,1.353743,1.457143,0.962264,0.745098,1.525093,0.821995,0.53898,0.91559,0.985524,0.650818,0.849407,0.914286,0.603774,0.982127,1.057143,0.698113,1.021382,0,0.276,0,0,0,3.700658,0,1,1.028146,0,0.276,0,0,0,3.725166,0,1,0,1.108292,1.006319,0.907991,1.006623,0,0.270222,0,0,0,3.725166,0,1,n
1.029287,1.452667,0.807037,0.70855,1,0.555556,1.70052,2.4,1.333333,0.715834,0.907917,0.581067,0.492773,0.625,0.4,1.182654,1.5,0.96,0.416667,2.234822,2.570266,1.150099,0.695466,0.882083,0.564533,0.492773,0.625,0.4,0.886991,1.125,0.72,1.241176,0,0.312593,0,0,0,5.735294,0,1.444444,1.248521,0,0.401905,0,0,0,5.769231,0,1.857143,0,1.304848,1.545799,1.184659,1.005917,0,0.32381,0,0,0,3.994083,0,1.285714,c
0.647317,0.687296,0.617401,0.337638,0.358491,0.322034,1.083995,1.150943,1.033898,0.624386,0.650476,0.597158,0.325677,0.339286,0.311475,1.045595,1.089286,1,0.311475,14.850874,17.322862,1.166454,0.964575,1.004881,0.922514,0.908468,0.946429,0.868852,1.011313,1.053571,0.967213,0.942675,0,0.328889,0,0,0,3.821656,0,1.333333,0.986667,0,0.281905,0,0,0,4,0,1.142857,0,1.018752,0.994374,0.976071,1.046667,0,0.299048,0,0,0,3,0,0.857143,c
1.015777,1.033333,1.002395,1.001214,1.018519,0.988024,1.037621,1.055556,1.023952,1.011684,1.033333,0.990533,0.99718,1.018519,0.976331,1.033441,1.055556,1.011834,0.964912,0.765858,0.642723,0.839219,0.995971,1.017284,0.975148,0.979049,1,0.95858,1.009267,1.030864,0.988166,0.92931,0,0.102667,0,0,0,9.051724,0,1,0.964222,0,0.102667,0,0,0,9.391771,0,1,0,0.813487,0.992933,1.22059,1.037567,0,0.110476,0,0,0,9.391771,0,1,n
